sample_id;rank;selected;score;example_index;context_type;relation;reference_object;target_box;reference_box;placement_side;semantic_area_ratio;selection_mode;foot_ground_ratio;obstacle_ratio;sky_ratio;horizontal_alignment_score;reference_overlap_ratio
sample_005;3;0;0.9807948536896671;1882;physical_interaction;sitting_on;bench_or_seat;[447, 194, 652, 511];[469, 253, 632, 477];overlap;0.06869346217105263;strict;0.9674146341463414;0.24547203200738632;0.0;;
sample_005;4;0;0.8497393291038373;1427;physical_interaction;sitting_on;bench_or_seat;[23, 193, 241, 510];[27, 234, 237, 459];overlap;0.06400416361639824;strict;1.0;0.35849275026770466;0.0;;
sample_005;5;0;0.8195868056102704;1727;physical_interaction;sitting_on;bench_or_seat;[59, 194, 263, 511];[104, 170, 219, 472];overlap;0.05753282851390922;strict;0.9605882352941176;0.33163233747757775;0.0;;
sample_005;6;0;0.7970263432385288;1748;physical_interaction;sitting_on;bench_or_seat;[297, 194, 480, 511];[320, 256, 459, 470];overlap;0.05876608455882353;strict;1.0;0.41559359431831894;0.0;;
sample_005;7;0;0.6481420619429827;979;physical_interaction;sitting_on;bench_or_seat;[398, 85, 616, 402];[394, 164, 620, 351];overlap;0.040861205161054175;strict;0.3172477064220183;0.43434723468295083;0.0;;
sample_005;8;0;0.5805168643678161;772;physical_interaction;sitting_on;bench_or_seat;[286, 138, 436, 370];[320, 213, 403, 333];overlap;0.02295466666666667;strict;0.9844444444444445;0.3867241379310345;0.0;;
sample_006;1;0;1.5857617624566949;1800;physical_interaction;sitting_on;sofa_or_armchair;[263, 149, 481, 466];[158, 128, 586, 415];overlap;0.24062614385065886;strict;0.9155963302752294;0.10158307527566347;0.0;;
sample_006;2;0;1.1742532369666028;1143;physical_interaction;sitting_on;sofa_or_armchair;[420, 148, 638, 465];[414, 181, 645, 414];overlap;0.10295227855051245;strict;0.998348623853211;0.234335658264116;0.0;;
sample_006;3;0;1.0879150343585948;953;physical_interaction;sitting_on;sofa_or_armchair;[393, 19, 611, 336];[345, 41, 660, 285];overlap;0.11400187591508053;strict;0.0;0.32599195438890977;0.0;;
sample_006;4;1;1.05911034398283;1570;physical_interaction;sitting_on;sofa_or_armchair;[323, 194, 541, 511];[230, 219, 635, 461];overlap;0.14596392295021962;strict;0.04036697247706422;0.4228431684658351;0.0;;
sample_006;5;0;0.9686767675966717;622;physical_interaction;sitting_on;sofa_or_armchair;[384, 194, 629, 511];[365, 249, 649, 472];overlap;0.08886973063151042;strict;0.8584489795918367;0.3877035987896736;0.0;;
sample_006;6;0;0.9220078915989416;1130;physical_interaction;sitting_on;sofa_or_armchair;[403, 178, 630, 470];[366, 229, 668, 434];overlap;0.09083226578993732;strict;0.9996169316222946;0.4151680646913282;0.0;;
sample_006;7;0;0.9007114705731705;326;physical_interaction;sitting_on;sofa_or_armchair;[468, 192, 710, 509];[463, 269, 716, 458];overlap;0.07897384824966974;strict;0.8849586776859504;0.4150611361681049;0.0;;
