sample_id;source_example_index;context_type;relation;reference_object;seed;prompt;scoring_prompt;output_path;human_presence;person_count;single_person_score;person_detection_confidence;person_box;placement_score;scale_score;relation_score;background_score;background_mae;prompt_score;total_score;failure_label;valid_candidate;auto_rank
sample_001;391;free_placement;left_side;;1005;A photorealistic adult woman standing naturally in the empty space on the left side indoors. Full body visible from head to feet, clear face, two arms, two legs. Feet on floor. Correct anatomy and scene-matched scale, perspective, lighting, shadows.;a complete full-body woman standing on the left side indoors;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_001/seed_1005.png;1;1;1.0;0.9997425675392151;[233.69004821777344, 183.15731811523438, 370.23101806640625, 633.3859252929688];0.9726775590293648;0.8816057699124097;1.0;1.0;0.0;0.6399486362934113;0.898782034931841;;1;1
sample_002;722;free_placement;center_foreground;;1001;A photorealistic adult man standing naturally in the exact center foreground outdoors. Full body visible from head to feet, clear face, two arms, two legs. Feet on ground. Correct anatomy and scene-matched scale, perspective, lighting, shadows.;a complete full-body man standing in the center foreground outdoors;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_002/seed_1001.png;1;1;1.0;0.9997114539146423;[427.6563720703125, 181.93685913085938, 613.447509765625, 672.0777587890625];0.9838415214934474;0.9915176847556046;1.0;1.0;0.0;0.6554173976182938;0.9260831842521298;;1;1
sample_003;1955;object_relative;beside;table;1001;A photorealistic adult woman standing naturally beside the visible table. Full body visible from head to feet, clear face, two arms, two legs. Feet on floor. Correct anatomy and scene-matched distance, scale, perspective, lighting.;a complete full-body woman standing beside a table;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_003/seed_1001.png;1;1;1.0;0.999677300453186;[703.5734252929688, 165.61378479003906, 815.3406372070312, 559.478759765625];0.9223331714856577;0.7258232807896845;0.5853365918900958;1.0;0.0;0.6411906778812408;0.8104048479921439;;1;1
sample_004;1767;object_relative;near;car;1001;A photorealistic adult man standing naturally beside the visible car. Full body visible from head to feet, clear face, two arms, two legs. Feet on road. Correct anatomy and scene-matched distance, scale, perspective, lighting.;a complete full-body man standing beside a car;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_004/seed_1001.png;1;1;1.0;0.9994755387306213;[538.697021484375, 26.260862350463867, 677.6715087890625, 437.80853271484375];0.977150971254956;0.8222854448848483;0.9609865459446214;1.0;0.0;0.6476530879735947;0.9091558425520584;;1;1
sample_005;1057;physical_interaction;sitting_on;bench_or_seat;1001;A photorealistic adult woman seated upright on the visible bench, aligned with its forward direction. Back toward backrest, face away from it, never sitting backward. Hips on seat, knees bent, feet grounded. Full body and clear face visible. Correct anatomy and scene-matched scale, perspective, lighting.;a complete-body woman seated upright in the natural direction of a bench;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_005/seed_1001.png;1;1;1.0;0.9998538494110107;[350.91949462890625, 263.32818603515625, 556.2437133789062, 682.7685546875];0.9874438981498053;0.9035054970261277;0.7428336674444237;1.0;0.0;0.6435526013374329;0.8706792113690065;;1;1
sample_006;1570;physical_interaction;sitting_on;sofa_or_armchair;1006;A photorealistic adult man seated upright on the visible sofa or armchair, aligned with its forward direction. Back toward backrest, face away from it, never sitting backward. Hips on cushion, knees bent, feet grounded. Full body and clear face visible. Correct anatomy and scene-matched scale, perspective, lighting.;a complete-body man seated upright in the natural direction of an armchair;/content/drive/MyDrive/Colab Notebooks/alto/v0/Output/images/sample_006/seed_1006.png;1;1;1.0;0.9994103908538818;[488.02069091796875, 258.1832580566406, 759.6027221679688, 656.0359497070312];0.9107778799705184;0.9764833781545272;0.9493661190548676;1.0;0.0;0.6492273211479187;0.9188727259177115;;1;1
