context_type;num_candidates;human_success_rate;single_person_rate;failure_rate;mean_score;mean_placement;mean_relation;mean_background;std_score;min_score;max_score
free_placement;16;0.9375;0.9375;0.125;0.7879318607970437;0.8997630727620035;0.9375;1.0;0.21822310779342408;0.0;0.9260831842521298
object_relative;16;0.875;0.8125;0.5;0.6779460662525238;0.8134334036765112;0.6135173407778434;1.0;0.27427110445576364;0.0;0.9091558425520584
physical_interaction;16;0.875;0.875;0.125;0.754121708768568;0.837632932287672;0.6502397546584007;1.0;0.2958343321307606;0.0;0.9188727259177115
